fecha,logoficial,macri,shock2008,shock2013,shock2014,shock2015,shock2018,shock2019,logblue,inflacion,loginflacion,inf_grafico,badlar_media,logbadlar,emae,logemae,emae_des,logemaedes,emae_suav,logemaesuav,pib_desest_pesos_2004,logpbipesos_d2004,pib_pesos_2004,logpbipesos_2004,indice_mat_prim,logmat_prim,sturze,macri,cristina,nestor,m1_total,logm1,m2_total,logm2
1/31/2004,1.06240924,0,0,0,0,0,0,0,1.067606228,100.16,4.606768907,1.066768907,1.851190476,0.615828933,92.6,4.528586139,98.2,4.587006215,95.9,4.563813442,,,,,73.17,4.292774298,0,0,0,1,50155056,17.73062988,67944262,18.03419825
2/29/2004,1.075514237,0,0,0,0,0,0,0,1.076485223,100.26,4.607766812,1.067766812,1.571875,0.452269174,90.2,4.501876193,98.1,4.585987367,96.6,4.57029216,,,,,72.96,4.289920822,0,0,0,1,50785495,17.74312134,69607523,18.05838321
3/31/2004,1.063960831,0,0,0,0,0,0,0,1.06938943,100.86,4.613733417,1.073733417,1.505434783,0.409081749,101.9,4.623828021,97.7,4.581901559,97.3,4.577427574,475394.47,13.07190021,460369.4422,13.03978458,75.43,4.323161607,0,0,0,1,50549356,17.73846076,70413818,18.06990008
4/30/2004,1.042320372,0,0,0,0,0,0,0,1.044798658,101.72,4.622223941,1.082223941,1.651315789,0.501572418,102.6,4.630520438,95.2,4.555979942,98,4.584780574,,,,,76.54,4.337858836,0,0,0,1,52118674,17.76903387,73073547,18.10697699
5/31/2004,1.071069786,0,0,0,0,0,0,0,1.072922802,102.47,4.629570073,1.089570073,3.2375,1.174801427,109.9,4.699366145,97,4.574710979,98.7,4.592359384,,,,,79.68,4.378009344,0,0,0,1,54620248,17.81591521,77094568,18.16054338
6/30/2004,1.08502838,0,0,0,0,0,0,0,1.086957331,103.05,4.635214307,1.095214307,2.982142857,1.092642122,105.7,4.660249165,98.8,4.593097605,99.5,4.600117778,470404.36,13.06134794,514395.6818,13.15074806,78.39,4.361757925,0,0,0,1,56531631,17.85031088,81093217,18.21110988
7/31/2004,1.083579221,0,0,0,0,0,0,0,1.086154054,103.52,4.639764831,1.099764831,3.199404762,1.162964781,101.1,4.616179335,100.8,4.613138356,100.3,4.608051107,,,,,79.77,4.379148551,0,0,0,1,57765405,17.87190063,83499604,18.24035245
8/31/2004,1.103204901,0,0,0,0,0,0,0,1.104941424,103.88,4.643236387,1.103236387,4.19047619,1.432814377,98.4,4.588590875,102.1,4.625952725,101.1,4.616117754,,,,,80.84,4.39244223,0,0,0,1,56782462,17.85473807,84095078,18.2474586
9/30/2004,1.096792452,0,0,0,0,0,0,0,1.101033597,104.53,4.649474112,1.109474112,4.446022727,1.492009927,98.1,4.585848463,102.4,4.628886713,101.9,4.624260834,493957.18,13.11020411,481151.9799,13.08393847,80.68,4.390490221,0,0,0,1,56613487,17.8517578,83053665,18.23499752
10/31/2004,1.088393588,0,0,0,0,0,0,0,1.090564116,104.94,4.653388758,1.113388758,4.38125,1.477334072,97.8,4.583289193,103.2,4.636668853,102.8,4.632378208,,,,,86.48,4.459964395,0,0,0,1,57025935,17.85901672,83910861,18.24526561
